n_rl_m,chi_rl_rad,s_ref_rl_m,theta_ref_rl_rad,mu_ref_rl_rad,phi_ref_rl_rad,dtheta_ref_rl_radpm,dmu_ref_rl_radpm,dphi_ref_rl_radpm
-0.006032,-0.000403,257.962561,0.366184,-0.002549,-0.01653,0.012296,0.000141,0.000042
-0.006433,-0.000398,258.962416,0.378661,-0.002407,-0.016489,0.012663,0.000143,0.00004
-0.006827,-0.000388,259.962271,0.391501,-0.002264,-0.01645,0.013021,0.000143,0.000036
-0.007206,-0.00037,260.962126,0.404694,-0.002122,-0.016416,0.013369,0.00014,0.000032
-0.007565,-0.000345,261.961981,0.418229,-0.001986,-0.016387,0.013704,0.000134,0.000026
-0.007894,-0.000313,262.961836,0.432092,-0.001856,-0.016364,0.014027,0.000125,0.00002
-0.008187,-0.000272,263.961691,0.446271,-0.001738,-0.016348,0.014335,0.000112,0.000012
-0.008435,-0.000223,264.961546,0.46075,-0.001634,-0.016341,0.014627,0.000096,0.000003
-0.008631,-0.000167,265.961401,0.475513,-0.001547,-0.016344,0.014904,0.000077,-0.000008
-0.008768,-0.000105,266.961255,0.490545,-0.001481,-0.016357,0.015164,0.000055,-0.000019
-0.008838,-0.000036,267.96111,0.505827,-0.001437,-0.016383,0.015405,0.000031,-0.000032
-0.008838,0.000038,268.960965,0.521342,-0.001419,-0.016421,0.015629,0.000005,-0.000045
-0.008762,0.000114,269.96082,0.537072,-0.001428,-0.016472,0.015835,-0.000023,-0.000058
-0.008609,0.000192,270.960675,0.552998,-0.001466,-0.016536,0.016022,-0.000052,-0.000071
-0.008377,0.00027,271.96053,0.569101,-0.001532,-0.016613,0.016191,-0.00008,-0.000083
-0.008071,0.000343,272.960385,0.585365,-0.001626,-0.016701,0.016341,-0.000108,-0.000094
-0.007693,0.000411,273.96024,0.60177,-0.001746,-0.0168,0.016475,-0.000134,-0.000104
-0.007251,0.000471,274.960095,0.618301,-0.001891,-0.016908,0.016591,-0.000156,-0.000112
